selected_0,selected_1,selected_2,selected_3,selected_4,selected_5,selected_6,selected_7
-0.12323477,0.55910355,-0.65867144,-0.19818012,-0.5726412,-0.06853488,0.16738307,-0.49547386
0.1944873,0.28968844,-0.58993274,0.1211916,-0.3152465,-0.6614064,-0.08176738,-0.54623306
-0.28992605,0.07254425,0.04040047,-0.2349089,0.4688079,0.22504246,0.27522108,0.34845296
0.5716601,0.9372635,0.07477367,-0.3813726,-0.18283232,-0.778028,-0.30025277,-0.14151591
0.021800093,0.16279277,-0.53763336,-0.048376985,-0.32009754,-0.35713297,0.13030843,-0.2664139
-0.7127589,-0.015696324,0.46161523,-0.9037314,-0.18040943,-0.17114928,-0.89513177,-0.014744312
-0.47304657,0.7858937,0.28789884,-1.2878138,-0.07986146,-0.09033088,-0.81574315,-0.4080305
-1.1398782,2.6286566,-0.49640685,-0.6245573,-0.83124155,0.8136239,0.5282273,-2.7147856
-0.114867106,0.61974835,-0.36488128,-0.65185875,0.33604166,0.16975774,-0.32704273,-0.29298055
0.11981886,0.23218611,-0.43638363,-0.1592061,-0.031039612,-0.08405755,-0.074866176,-0.36817208
-0.23498942,0.57854533,-0.39251393,-0.668603,-0.8563931,-0.52838945,0.06813985,-0.29529276
-0.5532838,-0.18277186,1.1096025,-0.11162801,1.9738749,0.75757456,-1.0931473,0.5630211
-0.08970309,0.19892544,0.242003,-0.2315985,0.52655834,0.25533423,0.01611732,0.12302314
-0.50451624,1.376104,-0.032831512,0.0015759822,-0.7441038,0.056590002,0.3214517,-1.7087033
0.14402622,-0.04668942,0.1541291,0.057750087,-0.06201902,-0.3951425,-0.3066784,0.072064236
-1.0149028,-0.6149709,1.0024405,-0.19765483,2.2916086,-0.79731536,-2.969718,0.1600905
-0.0026090762,0.60430825,0.44692641,0.26975042,-0.11674607,-0.044055503,-0.10532407,-0.16258678
-0.5378564,-0.7495159,0.020520296,0.16349693,0.58423126,0.21153657,-0.15083903,0.2203398
0.10836329,-0.785924,-0.2535741,1.1662725,0.99401045,-0.20766695,-0.41040167,0.16305001
-0.3013097,-0.15322985,0.39912522,0.2165632,0.98190767,0.7977906,0.3884915,0.782431
-0.6196187,-0.44978946,1.1256453,0.21899176,2.0883157,0.60504967,-1.0311935,1.0626298
0.038832024,0.2661224,-0.50248826,-0.080728665,0.027354665,0.0109605035,0.20387606,-0.07699966
-0.5965904,-0.9043619,0.019841434,0.4568116,0.9322273,0.5458355,-0.13038215,0.2751558
-0.40783978,-0.8817081,-0.156762,0.8994242,0.37034735,-0.056564286,-0.589287,-0.48046896
-0.49351898,0.35336542,-0.24195679,-0.43232793,0.7798987,0.6294498,-0.06282687,-0.13986969
0.2260896,0.09459246,-0.26359087,0.027868269,-0.1635194,-0.48604304,-0.37871635,-0.2989662
-0.04788937,0.5562324,-0.03427749,0.45600092,0.15307847,-0.57720023,0.21872948,-1.0190022
-0.014054774,0.36278188,-0.39253485,-0.16855463,-0.10562832,0.11048768,0.19717553,-0.13682474
0.07772362,0.95991623,-0.9193121,0.5213494,0.27091813,0.51649755,0.9501632,-0.7492588
-0.05033614,0.2603217,-0.39634582,-0.2928791,-0.3399508,-0.3590656,0.012686843,-0.27865365
-0.19153956,0.3479551,0.06570456,-0.66154623,-0.25624081,-0.23157963,-0.08608502,-0.078639
-0.4375269,0.059132934,-0.039919212,-0.53564316,-0.28449902,-0.027604591,-0.20783752,-0.019305652
0.40340978,1.8427907,0.99923617,-1.1522962,0.3733165,-0.59149,-0.88075614,0.05834098
-1.2852185,-0.39447856,0.33762148,0.1464963,4.5356474,1.1308204,-2.3618436,0.5271471
0.16226286,0.35808504,-0.20504689,-0.30742446,-0.12984125,-0.6832393,-0.53442705,-0.34638205
0.029381817,0.64653116,-0.69413376,-0.38796237,0.16210565,0.22750567,-0.020668369,-0.43588454
0.00865396,0.6230647,-0.17205681,-0.8558423,0.08113355,-0.26156595,-0.6928045,-0.3396859
-0.21029598,0.0019662476,0.09934665,-0.12721524,-0.18004517,0.0012352251,-0.12009001,-0.08444647
-0.33227178,1.4656143,-0.40695402,-0.3703686,0.25447017,0.7222819,0.16833983,-1.1534446
-0.26574075,0.020436436,-0.05151628,0.21146259,-0.34447387,-0.13738048,-0.19539234,-0.37116715
-0.47848704,0.23476233,0.87654036,-0.8543473,0.038763035,-0.33209065,-1.098139,0.50650287
0.015692905,1.292897,1.0017345,-0.35267112,1.8603295,0.6397606,-0.6941921,1.1727171
0.0041122525,-0.35650966,0.09288224,0.26024404,0.3537954,-0.2756111,-0.59033316,-0.12642524
0.19299187,0.37002912,-0.7202068,-0.41396195,0.0060043335,-0.5040164,0.07423233,-0.20467833
-0.8532422,-1.2117404,0.5295642,0.43173644,1.1921922,0.7093025,-0.30874547,0.5671826
-1.3647057,-1.562932,0.17048784,0.72327197,2.2399843,1.1472615,-0.9372952,0.123099945
-0.35461125,0.17822962,-0.12751028,-0.4270058,-0.40145814,-0.042514343,-0.16540915,-0.19425216
-0.25603056,-0.3526432,0.45979685,0.06295885,0.57240987,-0.06783986,-0.7161553,-0.03387678
0.22117443,0.6284326,-0.91267216,0.032028645,0.039600223,0.11517627,0.38699007,-0.27070743
-0.42225024,0.993328,-0.41360712,0.009451917,-0.6411881,0.16778457,0.75885034,-1.1365741
-0.69871277,0.1147188,0.008378923,-0.95612365,-0.43441665,-0.098604225,-0.29231092,0.008202928
-0.014009948,0.10998336,-0.3799437,-0.04760415,-0.283151,-0.24875423,-0.18592004,-0.27817285
-0.15344837,0.14368348,-0.27099958,-0.38365054,-0.38976386,-0.3462395,0.036037248,-0.1556817
-0.12032816,0.9852711,-0.78513014,-0.4672134,-0.65113586,-0.24038957,0.068397544,-0.72716767
0.0038021991,0.53266615,0.28470802,-0.7782479,-0.30263114,-0.6505358,-0.18369643,0.22218427
0.30558914,0.74431413,0.09128054,-0.7083661,-0.27274,-0.22551157,-0.3813771,0.01650589
0.11560142,-0.17498969,0.23870963,0.4748232,0.37225127,-0.14104721,-0.43396732,0.24133338
-0.76655066,-0.4885986,1.0231094,-0.9715136,2.0120366,-0.07515751,-0.54873425,1.1726785
0.1062791,0.15442425,-0.46176124,0.111696236,-0.08195888,-0.3299319,-0.056914892,-0.4246253
-0.041572493,0.7073346,-0.78764,-0.33688864,-0.8243517,-0.5247818,0.27775982,-0.5510661
-0.09976179,1.3627238,-0.6209806,-0.99554074,0.05403597,0.15947038,-0.24545914,-0.5705296
-1.2710106,1.0377821,0.081494115,-1.9851139,-0.5832998,0.06526167,-1.317619,-1.0292091
-0.5498733,-1.0884238,0.2960851,0.64462006,0.63807297,-0.034894757,-0.9194073,-0.1775755
-0.3781754,-0.93059444,1.3410842,1.3438534,1.5673549,-0.11742344,-1.1647524,1.2350706
-0.5393448,-0.67323804,0.08538655,0.27391353,1.0045459,0.108440034,0.08837139,0.58865684
0.039708108,0.74339,-0.5245953,-0.30510908,-0.041532572,0.13654542,0.14055125,-0.23026316
-0.14409609,0.9345578,-1.0522759,-0.41465297,-0.38837156,0.26476932,0.51938254,-0.57831043
-0.25164846,-0.5562059,0.06856134,0.26583174,0.20836078,3.5924106e-05,-0.39524895,-0.32371765
0.055665463,-0.06046837,-0.3146105,0.38869333,-0.08626743,-0.34771493,-0.119468264,-0.36278453
0.02907643,-0.41270083,-0.023550395,0.5464358,0.28930184,-0.3681559,-0.5516858,-0.23694873
-0.34322923,0.622808,0.5777618,-1.2868651,0.18447243,-0.42261413,-0.653489,0.17545155
-0.3135175,-0.781009,0.2953893,0.9059905,1.354998,0.20520747,-0.66477257,0.47032598
0.56810623,1.349834,0.5339383,-0.47361413,-0.33726564,-0.6957476,-0.020332837,0.30202582
-1.1070977,-1.9377618,0.030739209,1.7662635,0.6551946,-0.7123959,-1.8502829,-0.86919874
-0.090025395,0.86672395,0.2200454,0.037449982,-0.24399793,-0.63519275,-0.62214863,-0.4339788
-0.21812421,0.18827781,-0.40946126,-0.24315555,-0.40670735,-0.08042632,-0.16062939,-0.24123064
-0.019735843,0.43634605,-0.20598537,-0.44363192,-0.5424328,-0.79540986,0.24105233,-0.18486783
-0.51859,-0.7369041,0.80106056,-0.041371673,1.0035766,0.113798834,-0.48130804,1.0452967
-0.07787526,1.2126236,-0.5857005,-0.8012014,-0.5021545,-0.26224747,0.41211894,-0.44223443
-0.07650027,0.47588155,-0.46019343,-0.7121579,-0.6434876,-0.68534374,0.18472998,-0.2549069
0.07704026,0.8083509,-0.63467526,-0.7347291,-0.61783284,-0.9698964,0.09996428,-0.38610694
-0.21705486,-0.55553645,0.47928482,0.58230424,0.8997231,0.4020198,-0.3377011,0.36057836
-0.042972576,-0.63915175,1.040729,0.8157176,1.2631923,-0.43650588,-1.1453822,1.0971571
-0.5678301,0.22031634,0.30241024,0.71479857,-0.41051745,-0.9668924,-1.3319714,-1.2679969
0.26834047,0.8154526,-1.3770053,-0.435964,-0.41878358,-0.53745234,-0.02806958,-0.86424917
-0.040881485,1.0487013,0.10754079,0.11929921,-0.33743027,-0.11771919,0.37168604,-0.825946
-0.52926993,-0.77984077,-0.4556917,-0.10786318,0.37632933,-0.019207,-0.05853177,0.09001775
-0.21415287,1.0181314,0.08596636,0.08127955,-0.9477605,-0.28586176,-0.3383937,-1.0135337
-0.55232805,1.1330851,-0.08310907,-0.23505859,-0.30785102,0.40161827,-0.2375099,-1.2915254
-0.18684502,-0.35130286,0.26796806,0.029577304,0.24270655,-0.07752454,-0.5304848,0.014481511
0.89575666,3.8347359,2.568877,-1.2079015,0.9254206,-1.0939329,-1.3230108,0.53160894
